GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
3707;95835.33333;164.5166677;161525.3333;1325.300008;6.476666609;64.46666718;9947.3353;2466.7397;2608.942;17619.4839;20172.4895;5419.522;12423;401604;419840;1907.2;2679.3;680592;241927;28637
3735.600098;96397;165.8633321;162265;1351.733358;7.313333352;65.96666718;10052.3823;2475.4651;2616.509;17597.4524;20202.1792;5400.6611;12368;404332;423548;1925.6;2681.8;695824;245174;28694
3779.600098;97399.66667;167.7366689;163024;1380.299967;8.570000013;67.5;10132.6347;2492.3789;2623.907;17630.5643;20173.7705;5433.6096;12310;409172;425536;1944.8;2707.2;701644;248232;28687
3780.800049;98252.33333;168.8033295;163756.3333;1403.033325;9.383333206;69.19999949;10240.2997;2494.6708;2635.88;17638.3677;20202.8918;5453.0988;12233;413924;423436;1958.4;2728.1;707796;252052;28576
3784.300049;98371;169.1766663;164447.3333;1436.166707;9.376666705;71.39999898;10318.6998;2506.4764;2649.225;17685.0298;20286.2649;5474.293;12195;416284;441552;2004.8;2750.4;717408;256608;28574
3807.5;99040.66667;170.5833384;165199.6667;1471.666667;9.673333486;73.69999949;10451.4263;2512.0596;2663.172;17728.7065;20442.9606;5489.4527;12190;420472;431524;2010.8;2789;732648;258860;28659
3814.600098;99637;170.9766693;166054.6667;1492.06665;11.84333324;76.03333282;10572.2947;2515.9009;2678.845;17748.5913;20570.4961;5502.569;12096;422632;434884;2024.4;2786.2;747784;261140;28809
3830.800049;99862.33333;171.2733307;166762.3333;1518.533325;13.35333316;79.03333282;10629.7974;2509.6887;2691.287;17780.2499;20497.103;5506.7549;11956;423784;432876;2038.4;2822.2;758700;264969;29019
3732.600098;98953.33333;169.0466665;167415.6667;1536.200033;9.616666635;81.69999949;10645.6794;2499.6284;2697.173;17755.6772;20635.7059;5528.1721;11813;423152;423936;2012.8;2801.2;758404;264511;29062
3733.5;98899;168.1633301;168110.6667;1589.666667;9.153333664;83.23333232;10718.2742;2473.4324;2699.882;17735.5946;20764.6799;5559.4309;11775;421240;421108;2014;2808.9;752868;266693;29031
3808.5;99498.66667;170.1533305;168693.6667;1625.233317;13.61333307;85.56666565;10842.2459;2444.1805;2702.083;17722.2975;20794.9062;5550.6953;11642;429972;416040;2007.6;2800.9;754820;269959;28998
3860.5;100239;171.2033335;169279;1654.166667;14.39000003;87.93333181;10967.7295;2420.7588;2703.493;17727.7557;20673.1822;5569.3764;11545;438696;415576;2011.2;2801.6;757072;274225;28878
3844.399902;100800.6667;170.8033346;169837.3333;1697.766683;14.90666612;89.76666514;11039.9045;2400.0213;2698.934;17645.4006;20535.4929;5572.9795;11452;444280;415192;2015.6;2830.3;762512;274699;28920
3864.5;100482;170.6533305;170412.6667;1733.299967;15.05333328;92.26666514;11045.7322;2385.8979;2691.603;17581.985;20457.8264;5583.9214;11463;440320;420632;2028.8;2849.1;759768;277250;29010
3803.100098;100076.6667;169.7833354;170990.3333;1777.200033;11.75;93.76666768;10953.8847;2371.0857;2682.526;17666.2012;20503.9543;5600.5257;11372;437212;420704;2024.4;2884.2;762116;278361;29096
